id,name,describe,how_to_fix,music,is_valid
020004,ERROR_CODE_LOCATION_MISSION_RUNNING,关闭定位时车辆正在执行mission任务,等车辆空闲后，再试,,1
020007,ERROR_CODE_STOP_LOCATION_IN_MAP_SWITCHING,关闭定位时正在切换地图,等地图切换后，再试,,1
030001,ERROR_CODE_CANCEL_EMERGENCY_CAN_NOT_RECOVER,由于有急停不可解除，导致解除急停失败,恢复急停触源后（如：恢复急停开关），再试,,1
030002,ERROR_CODE_TRIGGER_EMERGENCY_IN_EMERGENCY,设置急停时，当前已经处于急停模式,不要发送重复的命令，无需处理,,0
037001,ERROR_CODE_SET_SPEAKER_VOLUME_PARAM_ERROR,设置喇叭音量时，参数出错,请重新读取协议文档，再试,,1
040001,ERROR_CODE_CONTINUE_IN_EMERGENCY,继续时，当前已经处于急停状态,解除急停后，再试,,1
040002,ERROR_CODE_CONTINUE_IN_NOT_LOCATION,继续时车辆处于未定位状态,定位后，再试,,1
040003,ERROR_CODE_CONTINUE_IN_NOT_PAUSE,继续时车辆处于暂停状态,当前没处于暂停状态，无法继续,,1
040004,ERROR_CODE_CONTINUE_IN_FAULT,继续时车辆存在一些无法继续的故障,请排查当前故障后，再试,,1
041001,ERROR_CODE_SET_HMI_STATE_PARAM_ERROR,设置系统HMI时参数出错,请重新读取协议文档，再试,,1
050001,ERROR_CODE_SYNC_TIME_SYSTEM_NOT_IDLE,设置系统时间的时候，系统处于繁忙状态,等车辆空闲后，再试,,1
050005,ERROR_CODE_SYNC_TIME_MISSION_RUNNING,设置系统时间的时候，mission 正在运行,等车辆空闲后，再试,,1
050010,ERROR_CODE_SYNC_TIME_NTP_ENABLE,开启时间同步功能（NTP）后不手动设置时间,若要手动设置时间请将NTP功能关闭（time.enable_ntp_sync）后，再试,,1
070001,ERROR_CODE_MANUAL_CONTROL_NOT_ON,手动控制车辆时，车辆不处于手动控制状态,设置车辆为手动控制模式后，再试,,1
070002,ERROR_CODE_MANUAL_CONTROL_IN_EMERGENCY,车辆处于急停状态下启动手动控制,解除急停后，再试,,1
070003,ERROR_CODE_MANUAL_CONTROL_IN_BRAKE_SW,车辆处于解抱闸状态下启动手动控制,请取消解抱闸（电源开关打到第三档），再试,,1
070004,ERROR_CODE_MANUAL_CONTROL_MOVEMENT_RUNNING,有移动任务执行不能切换到手动控制,等车辆空闲后，再试,,1
070005,ERROR_CODE_MANUAL_CONTROL_MISSION_RUNNING,mission任务正在执行时不能切换手动控制,等车辆空闲后，再试,,1
070006,ERROR_CODE_ALREADY_IN_MANUAL_CONTROL,当前已经处于手动控制模式不能切换手动控制,已经是手动控制模式了，无需处理,,0
070007,ERROR_CODE_MANUAL_CONTROL_RUNNING,当前处于手动控制模式中,无法处理任务，切换自动模式后再试,,1
070008,ERROR_CODE_MANUAL_CONTROL_ACTION_RUNNING,有动作任务执行不能切换到手动控制,等车辆空闲后，再试,,1
070009,ERROR_CODE_AUTO_CONTROL_MANUAL_BTN,手动按钮打开时不能切换为自动模式,先关闭手动按钮再切换为自动模式,,1
080001,ERROR_CODE_NEW_MAP_MOVEMENT_RUNNING,移动任务在执行的时候不能创建地图,等车辆空闲后，再试,,1
080002,ERROR_CODE_NEW_MAP_MISSION_RUNNING,mission任务在执行的时候不能创建地图,等车辆空闲后，再试,,1
080003,ERROR_CODE_NEW_MAP_ALREADY_STARTED,绘制新地图时，已经开始绘制地图了,不要发送重复的命令，无需处理,,1
080004,ERROR_CODE_NEW_MAP_NAME_IS_INVALID,绘制地图名不合法,不能以“_1”结尾，请重新输入,,1
080081,ERROR_CODE_MAP_RENAME_ORIGINAL_NAME_IS_EMPTY,地图重命名时，要重命名的地图名为空,请检测参数是否正确，再试,,1
080082,ERROR_CODE_MAP_RENAME_DESTINATION_NAME_IS_EMPTY,地图重命名时，目标地图名为空,请检测参数是否正确，再试,,1
080083,ERROR_CODE_MAP_RENAME_CURRENT_MAP_IN_USE,地图重命名时，目标地图正在使用,请切换完当前地图，再试,,1
080084,ERROR_CODE_MAP_RENAME_DESTINATION_NAME_IS_INVALID,地图命名时，目标地图名不合法,不能以“_1”结尾，请检测参数是否正确，再试,,1
090001,ERROR_CODE_UNTAR_MAP_FILE_FAILED,解压地图失败，地图文件损坏或是导入地图请求被强制终止,联系厂家处理,,1
090002,ERROR_CODE_MAP_NAME_IS_NULL,获取到的地图名为空,联系厂家处理,,1
090003,ERROR_CODE_CHECK_MD5_OF_MAP_FILE_FAILED,校验地图文件的md5失败,联系厂家处理,,1
090004,ERROR_CODE_VERIFY_PGM_FILE_FAILED,校验地图pgm文件失败,联系厂家处理,,1
090005,ERROR_CODE_CREATE_PGM_MAP_FAILED,通过pgm生成map文件失败,联系厂家处理,,1
090006,ERROR_CODE_CREATE_MAP_JSON_FAILED,通过map生成json文件失败,联系厂家处理,,1
090007,ERROR_CODE_CREATE_MAP_PNG_FAILED,通过map生成png文件失败,联系厂家,,1
090008,ERROR_CODE_MAP_FILE_SIZE_OUT_OF_RANGE,导入的地图文件过大,联系厂家处理,,1
090009,ERROR_CODE_MAP_VERSION_NOT_MATCHED,当前地图由较高版本SROS生成，当前版本的SROS不支持,请更换低版本SROS生成的地图再导入，或者升级SROS版本。,,1
090010,ERROR_CODE_EXPORT_MAP_TYPE_NOT_SUPPORT,导出的地图类型不支持,matrix和sros版本不匹配，请升级正确的版本,,1
090011,ERROR_CODE_EXPORT_MAP_NOT_EXIST,导出地图时未匹配到可用的地图名,联系厂家处理,,1
090012,ERROR_CODE_EXPORT_MAP_FILES_NOT_FOUND,导出地图时未找到地图文件,联系厂家处理,,1
090013,ERROR_CODE_TAR_MAP_FILE_FAILED,压缩地图失败,联系厂家处理,,1
090014,ERROR_CODE_MUSIC_INVALID_IMPORT_LIST,待导入语音文件名无效,修改后重新确认,,1
090015,ERROR_CODE_MAP_NAME_IS_INVALID,获取到的地图名非法,修改后重新确认,,1
090016,ERROR_CODE_MAP_UPGRADE_FAILED_DUE_TO_EDGE_GROUP_NOT_MATCH,地图升级失败，双向路径的路径组不一致,请设置路径组的路径，使相关双向路径的路径组一致，再试,,1
090017,ERROR_CODE_MAP_IMPORT_BUSY,导入地图繁忙,请稍后再试,,1
100001,ERROR_CODE_SET_MAP_SYSTEM_NOT_IDLE,设置使用当前地图时系统处于非空闲状态,等车辆空闲后，再试,,1
100002,ERROR_CODE_SET_MAP_MOVEMENT_RUNNING,设置使用当前地图时有移动任务执行,等车辆空闲后，再试,,1
100003,ERROR_CODE_SET_MAP_MISSION_RUNNING,设置使用当前地图时mission任务正在执行,等车辆空闲后，再试,,1
100004,ERROR_CODE_SET_MAP_LOCATION_NOT_NONE,设置使用当前地图时处于定位状态,取消定位后，再试,,1
100005,ERROR_CODE_SET_MAP_MAP_LOAD_ERROR,设置当前地图时，当前地图不存在或者是当前地图数据被破坏,请确认当前地图名是否正确，再试,,1
110001,ERROR_CODE_SET_CONFIG_MOVEMENT_RUNNING,设置参数的时移动任务在运行,等车辆空闲后，再试,,1
110002,ERROR_CODE_SET_CONFIG_ACTION_RUNNING,设置参数的时动作任务在运行,等车辆空闲后，再试,,1
110003,ERROR_CODE_SET_CONFIG_MISSION_RUNNING,设置参数的时mission任务在运行,等车辆空闲后，再试,,1
110004,ERROR_CODE_RESULT_NOT_MATCH_TASK_PARAM_STR,执行结果返回串与动作下发的匹配串不一致,请确认是否匹配失败，再试,MUSIC_MISMATCH_MATERIAL_CART_AND_VEHICLE_CODES,1
110005,ERROR_CODE_REQUEST_LOCK_SPACE_FAILED,执行动作时请求解锁空间失败,请确认失败原因，再试,,1
160001,ERROR_CODE_SET_SPEED_NOT_IN_MANUAL,车辆不处于手动控制状态，不能手动控制车辆,设置车辆为手动控制模式后，再试,,1
170001,ERROR_CODE_SET_PGV_INFO_ID_IS_ZERO,保存当前pgv时，pgv的id为0.（即：当前没有扫描到pgv的信息，但仍然在保存pgv）,确认pgv信息是否正确后，再试,,0
170002,ERROR_CODE_SET_PGV_INFO_ID_IS_REPEAT,保存当前pgv时，pgv的id重复.同一张地图中不能同时存在两张id一样的pgv,确认pgv信息是否正确后，再试,,0
170003,ERROR_CODE_SET_PGV_INFO_CURR_STATION_IS_ZERO,保存当前pgv时，当前agv站点为0,请将agv移动到有pgv的站点，再试,,0
170013,ERROR_CODE_DEL_PGV_INFO_CURR_STATION_IS_ZERO,删除当前pgv时，当前agv站点为0,请将agv移动到有pgv的站点，然后再删除pgv信息,,0
180001,ERROR_CODE_LOCK_CONTROL_MUTEX_MOVEMENT_RUNNING,获取独占模式时移动任务正在运行,等车辆空闲后，再试,,1
180002,ERROR_CODE_LOCK_CONTROL_MUTEX_ACTION_RUNNING,获取独占模式时动作任务正在运行,等车辆空闲后，再试,,1
180003,ERROR_CODE_LOCK_CONTROL_MUTEX_MISSION_RUNNING,获取独占模式时mission任务正在运行,等车辆空闲后，再试,,1
180004,ERROR_CODE_LOCK_CONTROL_MUTEX_NONE_NICK_NAME,获取独占模式时没有带上锁人的绰号,带上绰号后，再试,,1
180005,ERROR_CODE_LOCK_CONTROL_MUTEX_NONE_IP_ADDRESS,获取独占模式时没有带上锁人的ip,带上ip后，再试,,1
190001,ERROR_CODE_UNLOCK_CONTROL_MUTEX_CURRENT_IS_UNLOCKED,释放独占模式时当前已经是非独占模式,,,1
190002,ERROR_CODE_UNLOCK_CONTROL_MUTEX_SESSION_ID_MISMATCH,释放独占模式时sessionId不匹配,只有独占着才能解除独占模式，非独占者可以用CMD_FORCE_UNLOCK_CONTROL_MUTEX命令强制解除他人的独占,,1
200001,ERROR_CODE_FORCE_UNLOCK_CONTROL_MUTEX_PERMISSION_DENIED,强制释放独占模式时权限不够,只有admin及以上的全权限才能强制解除他人独占,,1
200002,ERROR_CODE_FORCE_UNLOCK_CONTROL_MUTEX_FLEET_DENIED,强制释放独占模式时当前处于调度我们，无法解除,退出调度模式就能解除调度独占,,1
320001,ERROR_CODE_MOVEMENT_IN_EMERGENCY,启动移动任务时，车辆处于急停状态,解除急停后，再试,,1
320002,ERROR_CODE_MOVEMENT_NO_LOCATION,启动移动任务时，车辆不处于定位状态,定位后，再试,,1
320003,ERROR_CODE_MOVEMENT_PRE_TASK_RUNNING,启动移动任务时，上一个任务在运行,等车辆空闲后，再试,,1
320004,ERROR_CODE_MOVEMENT_INVALID_CMD_PARAM,启动移动任务时，参数错误,请检测任务参数后，再试,,1
320005,ERROR_CODE_MOVEMENT_IN_MANUAL_CONTROL,启动移动任务时，车辆处于手动控制状态,请将车辆设置为自动控制模式后，再试,,1
320006,ERROR_CODE_MOVEMENT_IN_MISSION_RUNNING,启动移动任务时，mission在运行,请等空闲之后，再试,,1
320007,ERROR_CODE_MOVEMENT_SCREEN_TURNED_UP,触摸屏被翻起来了，不能启动移动任务,请将触摸屏放置成水平状态后，再试,,1
320008,ERROR_CODE_MOVEMENT_PATHS_IS_TOO_LONG,启动移动任务车，下发路径太长，超过128条,请重新下发路径，再试,,1
320010,ERROR_CODE_MOVEMENT_FOLLOW_PATH_START_POSE_OFFSET,用户发送移动路径时，起始点偏离了agv的真实位置，阈值由main.manual_path_start_pose_check_threshold配置,请检测下发参数后，再试,,1
320011,ERROR_CODE_MOVEMENT_FOLLOW_PATH_EXIST_ARC,用户发送移动路径时，路径中存在圆弧路径，圆弧路径已经被废弃,请检测下发参数后，再试,,1
320012,ERROR_CODE_MOVEMENT_FOLLOW_PATH_START_ANGLE_OFFSET,用户发送路径时，起点的角度与当前src角度相差过大，阈值由main.manual_path_start_angle_check_threshold配置,请检测下发参数后，再试,,1
320013,ERROR_CODE_MOVEMENT_FOLLOW_PATH_POSE_NOT_CONTINUOUS,用户发送移动路径，路径不连续，阈值值由main.manual_path_pose_continuous_check_threshold 配置,请检测下发参数后，再试,,1
320014,ERROR_CODE_MOVEMENT_FOLLOW_PATH_ANGLE_NOT_CONTINUOUS,用户发送移动路径，角度不连续，阈值值由main.manual_path_angle_continuous_check_threshold 配置,请检测下发参数后，再试,,1
320015,ERROR_CODE_MOVEMENT_LINE_PATH_INVALID,用户发送无效直线路径，长度小于1mm,请重新检查路径后，再试,,1
320016,ERROR_CODE_MOVEMENT_FOLLOW_PATH_CURVATURE_TOO_LARGE,规划的贝塞尔路径半径小于0.1米，超出运控跟踪限制,请优化绘制的路径，建议先在贝塞尔起点、终点画一段沿着站点方向的直线，再用贝塞尔曲线连接始末点，保证贝塞尔曲线整体平滑,,1
320020,ERROR_CODE_MOVEMENT_IN_POWER_SAVE_MODE,处于低功耗模式，不能启动移动任务,请退出低功耗模式后，再试,,1
320021,ERROR_CODE_MOVEMENT_BRAKE_SWITCH_ON,处于解抱闸状态，不能启动移动任务,请取消解抱闸（长按解抱闸按键）后，再试,,1
320022,ERROR_CODE_MOVEMENT_LASER_ERROR,雷达错误，不能启动移动任务,请等待雷达错误回复后，再试。比如解除低功耗模式时雷达会初始化，此期间会出现一段时间雷达错误,,1
320023,ERROR_CODE_MOVEMENT_VSC_ERROR,VSC错误，不能启动移动任务,重启,,1
320024,ERROR_CODE_MOVEMENT_SRC_ERROR,SRC错误，不能启动移动任务,重启,,1
320025,ERROR_CODE_MOVEMENT_MOTOR1_ERROR,电机1错误，不能启动移动任务,等待电机错误回复后再试，如：解除急停后电机会初始化，此期间会出现一段时间电机错误,,1
320026,ERROR_CODE_MOVEMENT_MOTOR2_ERROR,电机2错误，不能启动移动任务,等待电机错误回复后再试，如：解除急停后电机会初始化，此期间会出现一段时间电机错误,,1
320027,ERROR_CODE_MOVEMENT_FAULT_EXIST,存在一些影响移动任务运行的故障，不能启动移动任务,"1.修复故障后再试
2.处于调试阶段，可以设置inspection中的一些参数来忽略一些非严重的设备故障，正常后记得恢复这些参数。",,1
320028,ERROR_CODE_MOVEMENT_BATTERY_CHARGING,正在充电，不能启动移动任务,停止充电后，再试,,1
320029,ERROR_CODE_MOVEMENT_EAC_PROHIBIT,EAC当前禁止启动移动任务，EAC认为当前启动移动任务会带来风险,请检查EAC异常(可查看EAC故障码)后，再试,,1
320030,ERROR_CODE_MOVEMENT_ROTATE_IN_DISABLE_ROTATE_AREA,规划的路径在禁止旋转区域旋转,请检测规划出来的路径是否符合期望,,1
320031,ERROR_CODE_MOVEMENT_PATHS_CHASSIS_NOT_SUPPORT,当前底盘不支持本次规划的路径,请检测地图路径是否编辑正确，并检查车辆的底盘是否配置正确(参数：mc.base_type),,1
320032,ERROR_CODE_MOVEMENT_MANUAL_BTN_CONTROL_RUNNING,当前处于手柄控制中,无法处理移动任务，请将按钮切换到自动档,,1
320033,ERROR_CODE_MOVEMENT_IS_NULL,无法启动空的移动任务,请下发有效的移动任务,,1
321000,ERROR_CODE_FIND_PATH_UNKNOWN_ERROR,搜索路径时未知错误,联系厂家处理,,1
321001,ERROR_CODE_NAV_FIND_PATH_NO_STATION_IN_MAP,搜索路径失败，在地图中不存在该站点,请检测地图中是否存在需要导航到的站点，再试,,1
321002,ERROR_CODE_NAV_FIND_PATH_NET_NAV_AND_FREE_NAV_BOTH_DISABLED,路网导航和自由导航都没有开启,请需要导航的模式后，再试,,1
321005,ERROR_CODE_NET_NAV_START_POSE_NOT_ON_NET,路网导航，起点未在路径上,请将车辆移动到路网上后，再试,,1
321006,ERROR_CODE_NET_NAV_DST_POSE_NOT_ON_NET,路网导航，终点未在路径上,请检测要导航到的终点是否在路网上后，再试,,1
321007,ERROR_CODE_NET_NAV_NONE_STATION_AROUND_AGV,路网导航，设置了首先移动到最近的站点，但是车辆附近找不到对应的站点,请将车辆移动到站点后，再试,,1
321008,ERROR_CODE_NET_NAV_FIND_PATH_NO_WAY,路网导航，没有路径到达目标位置,请确认导航的起点和终点之间是否有路后，再试,,1
321010,ERROR_CODE_FREE_NAV_DST_POSE_UNWALKABLE,自由导航失败，目标站点不可到达,请确认导航的起点和终点之间是否有路后，再试,,1
321011,ERROR_CODE_FREE_NAV_NO_WAY,自由导航失败，没找到合适的路径,请确认导航的起点和终点之间是否有路后，再试,,1
321012,ERROR_CODE_FREE_NAV_START_POSE_UNWALKABLE,自由导航失败，起始位置距离障碍太近,请将机器人远离障碍再试,,1
321016,ERROR_CODE_AGV_NOT_ARRIVED_DEST,agv没有导航到达目标位置，检测阈值由“main.movement_task_arrive_point_check_threshold”配置,请检测是否正在到达了目标位置,,1
321017,ERROR_CODE_NAV_TO_NEAREST_FIRST_BUT_FREE_NAV_DISABLED,路网导航时，设置了首先移动到最近的站点，但是没有开启自由导航,请启动自由导航之后再试,,1
321018,ERROR_CODE_NAV_TO_NEAREST_FIRST_BUT_FREE_NAV_NO_WAY,路网导航时，设置了首先移动到最近的站点，但是自由导航无法到达,请检查路径是否真的可达,,1
321019,ERROR_CODE_FEATURE_RECOGNIZE_DEPARTURE,站点特征对接时，特征偏差过大,请检查特征位置是否真的可达,,1
321020,ERROR_CODE_FEATURE_RECOGNIZE_NOT_DISCERN,站点特征对接时，未识别到指定特征,请检查特征是否真的可识别,,1
321021,ERROR_CODE_FEATURE_RECOGNIZE_NOT_MATCH,站点特征对接时，识别到特征但不匹配,请检查特征是否真的可识别,,1
330001,ERROR_CODE_CANCEL_MOVEMENT_TASK_NOT_RUNNING,取消移动任务时，移动任务并没有启动,没有移动任务，无需取消,,1
330010,ERROR_CODE_SET_CHECKPOINT_TASK_NOT_RUNNING,设置关卡时，移动任务并没有启动,请确认是否有移动任务运行后，再试,,1
330011,ERROR_CODE_SET_CHECKPOINT_TASK_TYPE_NOT_FOLLOW_PATH,设置关卡时，移动任务不是跟随路径任务,请移动任务是否是跟随路径任务，再试,,1
330012,ERROR_CODE_CHECKPOINT_LESS_THAN_OR_EQUAL_CURRENT,设置关卡时，关卡的标号小于等于当前当前的关卡编号（保留）,请确认当前关卡编号，再试,,1
330020,ERROR_CODE_PATH_REPLACE_MOVEMENT_TASK_NOT_RUNNING,替换路径时移动任务没有启动,移动任务可能已经结束了，不能继续替换路径，请启动新的移动任务,,1
330021,ERROR_CODE_PATH_REPLACE_MOVEMENT_TASK_TYPE_NOT_MOVE_FOLLOW_PATH,只有MOVE_FOLLOW_PATH的移动任务才允许替换路径,请将移动任务类型改为MOVE_FOLLOW_PATH，然后再替换路径,,1
330023,ERROR_CODE_PATH_REPLACE_MOVEMENT_TASK_NO_MISMATCH,替换路径时，task no不匹配,请检查task no，然后再替换路径,,1
330024,ERROR_CODE_PATH_REPLACE_CURRENT_PATH_NUM_IS_NOT_SINGLE,替换路径时，当前移动任务的路径不止一条,只有当是单条路径的时候才允许替换路径,,1
330025,ERROR_CODE_PATH_REPLACE_DEST_POSE_PAST,替换路径时，目标站点已经走过了,请重新规划一条路径去目标站点,,1
330026,ERROR_CODE_PATH_REPLACE_PATHS_ARG_COUNT_IS_NOT_ONE,替换路径时，paths的size不为1,请检测参数后，再试,,1
330027,ERROR_CODE_PATH_REPLACE_INCONSISTENT_PATHS_SLOP,替换路径时，paths路径的斜率不一致,请检测路径的斜率是否一致，再试,,1
330028,ERROR_CODE_PATH_REPLACE_START_POINT_CHANGED,替换路径时，起始点不一致,请起始点是否一致，再试,,1
330029,ERROR_CODE_PATH_NOT_EXPECTED,检索出来的路径不符合预期,请检查地图上和目标点的路径，再试,,1
330030,ERROR_CODE_ADD_PATH_MOVEMENT_TASK_NOT_RUNNING,添加路径时移动任务没有启动,移动任务可能已经结束了，不能继续添加路径，请启动新的移动任务,,1
330031,ERROR_CODE_ADD_PATH_MOVEMENT_TASK_TYPE_NOT_MOVE_FOLLOW_PATH,只有MOVE_FOLLOW_PATH的移动任务才允许添加路径,请将移动任务类型改为MOVE_FOLLOW_PATH，然后再替换路径,,1
330032,ERROR_CODE_ADD_PATH_TOO_MANY_PATH_WAIT_FOR_RUN,路径队列当前剩余过多路径没执行，不能继续添加路径,请等待当前剩余路径执行完毕，再进行添加路径,,1
330033,ERROR_CODE_ADD_PATH_PATH_NOT_CONTINUOUS,添加路径时，所下发的路径与现执行的路径不连续,请检查下发路径的起点与当前移动任务的终点是否连续，包括起点、终点、朝向等,,1
340001,ERROR_CODE_ACTION_IN_EMERGENCY,车辆处于急停状态，不能启动动作任务,解除急停后，再试,,1
340002,ERROR_CODE_ACTION_PRE_TASK_RUNNING,上一个动作任务正在执行，不能启动新的动作任务,等待上一个任务结束后，再试,,1
340003,ERROR_CODE_ACTION_IN_POWER_SAVE_MODE,处于低功耗模式，不能启动动作任务,取消低功耗模式后，再试,,1
340004,ERROR_CODE_ACTION_IS_NULL,无法启动空的动作任务,请下发有效的动作任务,,1
340006,ERROR_CODE_ACTION_IN_MISSION_RUNNING,mission在运行的时候，不能启动动作任务,请等mission结束后，再试,,1
340007,ERROR_CODE_ACTION_SCREEN_TURNED_UP,触摸屏被翻起来了，不能启动动作任务,请将触摸屏放置成水平状态后，再试,,1
340008,ERROR_CODE_ACTION_BRAKE_SWITCH_ON,处于解抱闸状态，不能启动动作任务,请取消解抱闸（长按解抱闸按键）后，再试,,1
340010,ERROR_CODE_ACTION_RESPONSE_TIMEOUT,动作执行机构回复超时,请检测动作执行机构是否正常后，再试,MUSIC_MODULE_ABNORMAL,1
340011,ERROR_CODE_ACTION_RESPONSE_INCORRECT,动作执行机构回复出错,请检测动作执行机构是否正常后，再试,MUSIC_MODULE_ABNORMAL,1
340012,ERROR_CODE_ACTION_SYSTEM_BUSY,动作执行机构系统繁忙,请等执行机构空闲后，再试,,1
340013,ERROR_CODE_ACTION_ID_NOT_SUPPORT,action id 不支持,请检测下发参数后，再试,,1
340014,ERROR_CODE_ACTION_PARAM_0_NOT_SUPPORT,action param 0 不支持,请检测下发参数后，再试,,1
340015,ERROR_CODE_ACTION_PARAM_1_NOT_SUPPORT,action param 1 不支持,请检测下发参数后，再试,,1
340016,ERROR_CODE_ACTION_EAC_DISABLED,EAC模块没有开启,请检测EAC模块是否接上了后，再试,MUSIC_MODULE_ABNORMAL,1
340017,ERROR_CODE_ACTION_EAC_NOT_IDLE,EAC未处于空闲状态，不能启动新的动作任务,请确认EAC是否处于空闲状态,MUSIC_MODULE_ABNORMAL,1
340018,ERROR_CODE_ACTION_EAC_IN_ERROR_STATE,EAC处于故障状态，不能启动新的动作任务,人工清除物理故障后，点击Matrix上的“尝试解除故障”按钮，解除EAC故障后再尝试,MUSIC_MODULE_ABNORMAL,1
340019,ERROR_CODE_ACTION_EAC_PAUSE_FAILED,EAC暂停失败,请确认该动作是否支持暂停，再试,MUSIC_MODULE_ABNORMAL,1
340020,ERROR_CODE_ACTION_EAC_CONTINUE_FAILED,EAC继续失败,请确认EAC是否正常，再试,MUSIC_MODULE_ABNORMAL,1
340021,ERROR_CODE_ACTION_EAC_TASK_TIMEOUT,EAC任务超时,请确认EAC是否正常，重新下发任务,MUSIC_MODULE_ABNORMAL,1
340027,ERROR_CODE_ACTION_FAULT_EXIST,存在一些影响动作任务运行的故障，不能启动动作任务,"1.修复故障后再试 2.处于调试阶段，可以设置inspection中的一些参数来忽略一些非严重的设备故障，正常后记得恢复这些参数。",,1
340028,ERROR_CODE_ACTION_QRCODE_TYPE_ERROR,执行动作和二维码（带）类型不对,请检查动作或者二维码编号,,1
340029,ERROR_CODE_ACTION_START_CONDITION_NOT_MET,执行动作的前提条件不满足,在移动过程中不允许执行该动作,,1
340401,ERROR_CODE_ACTION_UP_CANMER_SCAN_DISABLED,上视扫码顶升功能没有开启,请将参数“function.camera_up_scan”设置为True后，再试,,1
340701,ERROR_CODE_ACTION_DOWN_CANMER_RECITIFY_DISABLED,下视二维码矫正功能没有开启,请将参数“main.enable_pgv_rectify”设置为True后，再试,,1
340702,ERROR_CODE_ACTION_DOWN_CANMER_RECITIFY_CURRENT_STATION_IS_NONE,下视二维码矫正时，当前站点为0,请确定矫正位置是否正确后，再试,,1
340703,ERROR_CODE_ACTION_DOWN_CANMER_RECITIFY_CURRENT_STATION_DMCODE_IS_NONE,当前站点没有绑定下视二维码,请将当前站点二维码偏差设置好，再试,,1
340704,ERROR_CODE_ACTION_LEFT_CANMER_RECITIFY_DISABLED,左视二维码矫正功能没有开启,请将参数“function.camera_left_side_scan”设置为True后，再试,,1
340705,ERROR_CODE_ACTION_RIGHT_CANMER_RECITIFY_DISABLED,右视二维码矫正功能没有开启,请将参数“function.camera_right_side_scan”设置为True后，再试,,1
340706,ERROR_CODE_ACTION_SCAN_DMCODE_TIMEOUT,指定时间内相机没有检测到二维码,请将二维码放到相机可以扫描到的位置或检查相机镜头是否脏污或二维码残缺等情况，再重试,,1
340707,ERROR_CODE_ACTION_LEFT_CANMER_RECITIFY_CURRENT_STATION_IS_NONE,左视二维码矫正时，当前站点为0,请确定矫正位置是否正确后，再试,,1
